,Name,Encoded Name,Searched City,Yelp URL,Yelp Rating,Yelp Num Reviews,Yelp Address,Yelp Cost,Yelp Neighborhood,Yelp Tags
42,Stateside,Stateside,Seattle,https://www.yelp.com/biz/stateside-seattle-3,4.2,1017,"300 E Pike St Ste 1200 Seattle, WA 98122",$$,Capitol Hill,"['Asian Fusion', 'New American']"
43,Tanoor,Tanoor,Seattle,https://www.yelp.com/biz/tanoor-seattle-3,4.5,235,"803 Dexter Ave N Seattle, WA 98109",$$,"South Lake Union, Westlake","['Lebanese', 'Mediterranean', 'Halal']"
44,Marination Ma Kai,Marination%20Ma%20Kai,Seattle,https://www.yelp.com/biz/marination-ma-kai-seattle,4.1,1278,"1660 Harbor Ave SW Seattle, WA 98126",$$,S Fairmount Ave & S California Way,"['Korean', 'Hawaiian', 'Asian Fusion']"
45,Old Stove Brewing,Old%20Stove%20Brewing,Seattle,https://www.yelp.com/biz/old-stove-brewing-pike-place-seattle-4,4.3,1098,"1901 Western Ave Ste A Seattle, WA 98101",$$,Downtown,"['Brewpubs', 'Seafood', 'Burgers']"
46,Canlis,Canlis,Seattle,https://www.yelp.com/biz/canlis-seattle,4.1,1750,"2576 Aurora Ave N Seattle, WA 98109",$$$$,Westlake,"['New American', 'Seafood']"
47,Paseo,Paseo,Seattle,https://www.yelp.com/biz/paseo-seattle-11,4.4,5531,"4225 Fremont Ave N Seattle, WA 98103",$$,Fremont,"['Caribbean', 'Cuban', 'Sandwiches']"
48,84 Yesler,84%20Yesler,Seattle,https://www.yelp.com/biz/84-yesler-seattle,4.7,122,"84 Yesler Way Seattle, WA 98104",Unclaimed,Pioneer Square,['Italian']
49,Hanok,Hanok,Seattle,https://www.yelp.com/biz/hanok-seattle-2,4.6,144,"4021 E Madison St Seattle, WA 98112",$$,Madison Park,"['Korean', 'Asian Fusion']"
50,Di Fiora,Di%20Fiora,Seattle,https://www.yelp.com/biz/di-fiora-seattle,4.3,612,"1320 University St Ste 1 Seattle, WA 98101",$$,First Hill,"['Asian Fusion', 'Cocktail Bars', 'Italian']"
51,COMMUNION Restaurant and Bar,COMMUNION%20Restaurant%20and%20Bar,Seattle,https://www.yelp.com/biz/communion-restaurant-and-bar-seattle,4.3,367,"2350 E Union St Seattle, WA 98122",,Central District,"['Soul Food', 'Soup', 'Cocktail Bars']"
52,Gold Bar,Gold%20Bar,Seattle,https://www.yelp.com/biz/gold-bar-seattle-4,3.3,27,"1416 E Olive Way Seattle, WA 98122",,Capitol Hill,['Bars']
53,The Butcher’s Table,The%20Butcher%E2%80%99s%20Table,Seattle,https://www.yelp.com/biz/the-butchers-table-seattle,4.1,696,"2121 Westlake Ave Seattle, WA 98121",$$$$,Denny Triangle,"['Steakhouses', 'Butcher', 'Wine Bars']"
54,D’ La Santa,D%E2%80%99%20La%20Santa,Seattle,https://www.yelp.com/biz/d-la-santa-seattle,4.6,438,"2359 10th Ave E Seattle, WA 98102",$$,Capitol Hill,"['Mexican', 'Steakhouses']"
55,Hannyatou,Hannyatou,Seattle,https://www.yelp.com/biz/hannyatou-seattle-2,4.7,67,"1060 N 39th St Seattle, WA 98103",,Fremont,"['Japanese', 'Cocktail Bars']"
56,Tavolàta,Tavol%C3%A0ta,Seattle,https://www.yelp.com/biz/tavol%25C3%25A0ta-seattle-6,,,,,,
57,Cactus Restaurants,Cactus%20Restaurants,Seattle,https://www.yelp.com/biz/cactus-restaurants-south-lake-union-seattle,4.1,993,"350 Terry Ave N Seattle, WA 98109",$$,South Lake Union,"['Tex-Mex', 'Mexican', 'Breakfast & Brunch']"
58,Palisade,Palisade,Seattle,https://www.yelp.com/biz/palisade-seattle,3.9,1742,"2601 W Marina Pl Elliott Bay Marina Seattle, WA 98199",$$$,Magnolia,"['Seafood', 'Steakhouses', 'American']"
59,Musang Seattle,Musang%20Seattle,Seattle,https://www.yelp.com/biz/musang-seattle-seattle-2,4.4,511,"2524 Beacon Ave S Seattle, WA 98144",$$,Beacon Hill,"['Filipino', 'Gluten-Free']"
60,Cask & Trotter,Cask%20%26%20Trotter,Seattle,https://www.yelp.com/biz/cask-and-trotter-seattle-2,4.1,651,"711 Westlake Ave N Seattle, WA 98109",$$,"South Lake Union, Westlake","['Barbeque', 'Bars', 'American']"
61,Salty’s on Alki Beach,Salty%E2%80%99s%20on%20Alki%20Beach,Seattle,https://www.yelp.com/biz/saltys-waterfront-seafood-grills-seattle,3.8,2348,Verified by Business,$$$,S Fairmount Ave & Prince St,"['Seafood', 'Venues & Event Spaces', 'New American']"
62,Palisade,Palisade,Seattle,https://www.yelp.com/biz/palisade-seattle,3.9,1742,"2601 W Marina Pl Elliott Bay Marina Seattle, WA 98199",$$$,Magnolia,"['Seafood', 'Steakhouses', 'American']"
63,Stone Korean Restaurant,Stone%20Korean%20Restaurant,Seattle,https://www.yelp.com/biz/stone-korean-restaurant-seattle-2,4.1,261,"900 Dexter Ave N Seattle, WA 98109",$$,"South Lake Union, Westlake","['Korean', 'Barbeque', 'Asian Fusion']"
64,Piroshky Piroshky,Piroshky%20Piroshky,Seattle,https://www.yelp.com/biz/piroshky-piroshky-seattle,4.3,7560,"1908 Pike Pl Seattle, WA 98101",$,Downtown,"['Bakeries', 'Russian']"
65,19 GOLD,19%20GOLD,Seattle,https://www.yelp.com/biz/19-gold-seattle,4.5,938,"3601 Fremont Ave N Ste 101 Seattle, WA 98103",$$,Fremont,"['Taiwanese', 'Chinese', 'Bubble Tea']"
66,Karachi Cowboys,Karachi%20Cowboys,Seattle,https://www.yelp.com/biz/karachi-cowboys-seattle,4.1,59,"1517 12th Ave Ste 100 Seattle, WA 98122",$$,Capitol Hill,"['Pakistani', 'Indian', 'Beer, Wine & Spirits']"
67,Taurus Ox,Taurus%20Ox,Seattle,https://www.yelp.com/biz/taurus-ox-seattle,4.6,446,"903 19th Ave E Seattle, WA 98122",$$,Capitol Hill,"['Laotian', 'Asian Fusion', 'Noodles']"
68,Dead Line,Dead%20Line,Seattle,https://www.yelp.com/biz/dead-line-seattle,4.4,406,"114 1st Ave S Seattle, WA 98104",$$,Pioneer Square,"['Cocktail Bars', 'Venues & Event Spaces', 'New American']"
69,Paju,Paju,Seattle,https://www.yelp.com/biz/paju-seattle-2,4.5,300,"11 Mercer St Seattle, WA 98109",$$,Lower Queen Anne,['Korean']
70,Rondo,Rondo,Seattle,https://www.yelp.com/biz/rondo-seattle-2,4.4,528,"224 Broadway E Seattle, WA 98102",$$,Capitol Hill,"['Sushi Bars', 'Izakaya']"
71,Paju,Paju,Seattle,https://www.yelp.com/biz/paju-seattle-2,4.5,300,"11 Mercer St Seattle, WA 98109",$$,Lower Queen Anne,['Korean']
72,Xi’an Noodles,Xi%E2%80%99an%20Noodles,Seattle,https://www.yelp.com/biz/xian-noodles-seattle-9,4.2,1108,"5259 University Way NE Seattle, WA 98105",$$,University District,"['Chinese', 'Noodles']"
73,Ramen Danbo,Ramen%20Danbo,Seattle,https://www.yelp.com/biz/ramen-danbo-seattle-2,4.3,2104,"1222 E Pine St Ste A Seattle, WA 98122",$$,Capitol Hill,"['Ramen', 'Noodles']"
74,A + Hong Kong Kitchen,A%20%2B%20Hong%20Kong%20Kitchen,Seattle,https://www.yelp.com/biz/a-hong-kong-kitchen-seattle,4.2,705,"419 6th Ave S Seattle, WA 98104",Unclaimed,"Chinatown, Chinatown International District","['Cantonese', 'Hong Kong Style Cafe']"
75,Karaage Setsuna,Karaage%20Setsuna,Seattle,https://www.yelp.com/biz/karaage-setsuna-seattle,4.4,491,"2429 2nd Ave Seattle, WA 98121",$$,Belltown,"['Japanese', 'Hawaiian']"
76,Dead Line,Dead%20Line,Seattle,https://www.yelp.com/biz/dead-line-seattle,4.4,406,"114 1st Ave S Seattle, WA 98104",$$,Pioneer Square,"['Cocktail Bars', 'Venues & Event Spaces', 'New American']"
77,Asadero Ballard,Asadero%20Ballard,Seattle,https://www.yelp.com/biz/asadero-ballard-seattle,4.4,1237,"5405 Leary Ave NW Seattle, WA 98107",$$,Ballard,"['Mexican', 'Steakhouses']"
78,Marination,Marination,Seattle,https://www.yelp.com/biz/marination-seattle-2,3.8,358,"2000 6th Ave Amazon Doppler Seattle, WA 98121",$$,Denny Triangle,"['Asian Fusion', 'Korean', 'Seafood']"
79,Intermezzo Carmine,Intermezzo%20Carmine,Seattle,https://www.yelp.com/biz/il-terrazzo-carmine-seattle,4.3,623,"411 1st Ave S Seattle, WA 98104",$$$,Pioneer Square,['Italian']
80,Mamnoon,Mamnoon,Seattle,https://www.yelp.com/biz/mamnoon-seattle,3.9,1156,"1508 Melrose Ave Seattle, WA 98122",$$,Capitol Hill,"['Lebanese', 'Persian/Iranian', 'Syrian']"
81,Mala & Satay,Mala%20%26%20Satay,Seattle,https://www.yelp.com/biz/mala-and-satay-seattle-2,4.2,85,"224 Fairview Ave N Seattle, WA 98109",$$,South Lake Union,['Vietnamese']
82,Lola,Lola,Seattle,https://www.yelp.com/biz/lola-seattle,4.1,4299,"2000 B 4th Ave Seattle, WA 98121",$$,Belltown,"['Greek', 'Breakfast & Brunch']"
83,iconiq,iconiq,Seattle,https://www.yelp.com/biz/iconiq-seattle,4.3,143,"1421 31st Ave S Seattle, WA 98144",$$$,Mount Baker,"['French', 'Japanese']"
84,Soju Anju Bar,Soju%20Anju%20Bar,Seattle,https://www.yelp.com/biz/soju-anju-bar-seattle,3.7,161,"1621 12th Ave Seattle, WA 98122",$$,Capitol Hill,"['Korean', 'Bars']"
85,Tavolàta,Tavol%C3%A0ta,Seattle,https://www.yelp.com/biz/tavol%25C3%25A0ta-seattle-6,,,,,,
86,Harbor City Restaurant,Harbor%20City%20Restaurant,Seattle,https://www.yelp.com/biz/harbor-city-restaurant-seattle,3.9,2078,"707 S King St Seattle, WA 98104",$$,"Chinatown, Chinatown International District","['Barbeque', 'Dim Sum', 'Cantonese']"
87,Citizen,Citizen,Seattle,https://www.yelp.com/biz/citizen-seattle,3.8,1135,"706 Taylor Ave N Seattle, WA 98109",Unclaimed,Lower Queen Anne,"['Creperies', 'Coffee & Tea', 'Breakfast & Brunch']"
88,Tsukushinbo,Tsukushinbo,Seattle,https://www.yelp.com/biz/tsukushinbo-seattle,4.2,1035,"515 S Main St Seattle, WA 98104",$$,"Japantown, Chinatown International District","['Japanese', 'Sushi Bars', 'Seafood']"
89,Mike’s Noodle House,Mike%E2%80%99s%20Noodle%20House,Seattle,https://www.yelp.com/biz/mikes-noodle-house-seattle,4,1412,"418 Maynard Ave S Seattle, WA 98104",$$,"Chinatown, Chinatown International District","['Cantonese', 'Noodles']"
90,Meet the Moon,Meet%20the%20Moon,Seattle,https://www.yelp.com/biz/meet-the-moon-seattle,4,708,"120 Lakeside Ave Seattle, WA 98122",$$,Leschi,"['Breakfast & Brunch', 'Bars', 'Comfort Food']"
91,Shiro’s,Shiro%E2%80%99s,Seattle,https://www.yelp.com/biz/shiros-seattle,4.3,2628,"2401 2nd Ave Seattle, WA 98121",$$$$,Belltown,"['Sushi Bars', 'Japanese']"
92,Tacos Chukis,Tacos%20Chukis,Seattle,https://www.yelp.com/biz/tacos-chukis-seattle-5,4.3,547,"832 Dexter Ave N Seattle, WA 98109",$,"South Lake Union, Westlake","['Tacos', 'Sandwiches']"
93,Copine,Copine,Seattle,https://www.yelp.com/biz/copine-seattle,4.5,239,"6460 24th Ave NW Seattle, WA 98107",$$$$,Ballard,"['New American', 'French']"
94,Violet,Violet,Seattle,https://www.yelp.com/biz/violet-seattle-2,4.5,159,"1734 12th Ave Seattle, WA 98122",$$$,Capitol Hill,['New American']
95,Rasai Indian,Rasai%20Indian,Seattle,https://www.yelp.com/biz/rasai-indian-seattle-3,3.8,258,"473 N 36th St Seattle, WA 98103",,Fremont,"['Indian', 'Cocktail Bars', 'Tapas/Small Plates']"
96,Fat’s Fried Chicken & Waffles,Fat%E2%80%99s%20Fried%20Chicken%20%26%20Waffles,Seattle,https://www.yelp.com/biz/fats-fried-chicken-and-waffles-seattle,4.3,816,"2726 E Cherry St Seattle, WA 98122",$$,Central District,"['Southern', 'Soul Food', 'Waffles']"
97,Dough Zone - Seattle Pine St.,Dough%20Zone%20-%20Seattle%20Pine%20St.,Seattle,https://www.yelp.com/biz/dough-zone-seattle-downtown-pine-st-seattle-2,4.2,1189,"815 Pine St Seattle, WA 98101",$$,Downtown,"['Shanghainese', 'Dim Sum', 'Noodles']"
98,Kin Len Thai Night Bites,Kin%20Len%20Thai%20Night%20Bites,Seattle,https://www.yelp.com/biz/kin-len-thai-night-bites-seattle-2,4.3,682,"3517 Fremont Ave N Seattle, WA 98103",$$,Fremont,"['Thai', 'Cocktail Bars', 'Noodles']"
99,Baegopa,Baegopa,Seattle,https://www.yelp.com/biz/baegopa-seattle,3.8,217,"509 7th Ave S Seattle, WA 98104",$$$,"Chinatown, Chinatown International District","['Korean', 'Barbeque']"
100,Dough Zone - Seattle Pine St.,Dough%20Zone%20-%20Seattle%20Pine%20St.,Seattle,https://www.yelp.com/biz/dough-zone-seattle-downtown-pine-st-seattle-2,4.2,1189,"815 Pine St Seattle, WA 98101",$$,Downtown,"['Shanghainese', 'Dim Sum', 'Noodles']"
101,Cafe Turko,Cafe%20Turko,Seattle,https://www.yelp.com/biz/cafe-turko-seattle-4,4.2,1305,"750 N 34th St Seattle, WA 98103",$$,Fremont,"['Halal', 'Turkish', 'Mediterranean']"
102,Baegopa,Baegopa,Seattle,https://www.yelp.com/biz/baegopa-seattle,3.8,217,"509 7th Ave S Seattle, WA 98104",$$$,"Chinatown, Chinatown International District","['Korean', 'Barbeque']"
103,Biscuit Bitch,Biscuit%20Bitch,Seattle,https://www.yelp.com/biz/biscuit-bitch-seattle,4.2,4731,"1909 1st Ave Seattle, WA 98101",$$,Downtown,"['Breakfast & Brunch', 'Coffee & Tea', 'Southern']"
104,Cookie’s Country Chicken,Cookie%E2%80%99s%20Country%20Chicken,Seattle,https://www.yelp.com/biz/cookies-country-chicken-seattle,4.3,188,"1744 NW Market St Seattle, WA 98107",$$,Ballard,['Chicken Shop']
105,Café Hagen,Caf%C3%A9%20Hagen,Seattle,https://www.yelp.com/biz/caf%25C3%25A9-hagen-seattle,,,,,,
106,Eden Hill Restaurant,Eden%20Hill%20Restaurant,Seattle,https://www.yelp.com/biz/eden-hill-restaurant-seattle-3,4.4,320,"2209 Queen Anne Ave N Seattle, WA 98109",$$$$,Queen Anne,"['New American', 'Desserts', 'Cocktail Bars']"
107,Finch & Pine,Finch%20%26%20Pine,Seattle,https://www.yelp.com/biz/finch-and-pine-seattle,4.2,38,"711 Bellevue Ave E Ste 100 Seattle, WA 98102",$$,Capitol Hill,"['Cafes', 'Cocktail Bars', 'Vegetarian']"
108,Bentoful,Bentoful,Seattle,https://www.yelp.com/biz/bentoful-seattle-3,4.5,42,"501 Fairview Ave N Seattle, WA 98109",Unclaimed,South Lake Union,"['Korean', 'Asian Fusion']"
109,Altura,Altura,Seattle,https://www.yelp.com/biz/altura-seattle,4.4,661,"617 Broadway E Seattle, WA 98102",$$$$,Capitol Hill,['Italian']
110,Lionhead,Lionhead,Seattle,https://www.yelp.com/biz/lionhead-seattle-2,4,341,"618 Broadway E Seattle, WA 98102",$$,Capitol Hill,"['Szechuan', 'Cocktail Bars', 'Noodles']"
111,Taylor Shellfish Farms - Seattle,Taylor%20Shellfish%20Farms%20-%20Seattle,Seattle,https://www.yelp.com/biz/taylor-shellfish-farms-seattle-3,4.2,1347,"1521 Melrose Ave Seattle, WA 98122",$$$,Capitol Hill,"['Seafood', 'Live/Raw Food']"
112,Son of A Butcher,Son%20of%20A%20Butcher,Seattle,https://www.yelp.com/biz/son-of-a-butcher-seattle-3,3.7,204,"2236 Eastlake Ave E Seattle, WA 98102",$$,Eastlake,"['Korean', 'Barbeque']"
113,Quinn’s,Quinn%E2%80%99s,Seattle,https://www.yelp.com/biz/quinns-seattle,4.1,1349,"1001 E Pike St Seattle, WA 98122",$$,"First Hill, Capitol Hill","['New American', 'Pubs']"
114,Cinque Terre Ristorante,Cinque%20Terre%20Ristorante,Seattle,https://www.yelp.com/biz/cinque-terre-ristorante-seattle,4.1,658,"2001 Westlake Ave Seattle, WA 98121",$$$,Denny Triangle,"['Italian', 'Seafood', 'Pizza']"
115,The Harvest Vine,The%20Harvest%20Vine,Seattle,https://www.yelp.com/biz/the-harvest-vine-seattle,4.3,708,"2701 E Madison St Seattle, WA 98112",Unclaimed,Madison Valley,"['Tapas Bars', 'Spanish', 'Basque']"
116,Dough Zone - International District,Dough%20Zone%20-%20International%20District,Seattle,https://www.yelp.com/biz/dough-zone-international-district-seattle,4.2,1457,"504 5th Ave S Ste 109 Seattle, WA 98104",$$,"Chinatown, Chinatown International District","['Shanghainese', 'Noodles']"
117,Due’ Cucina Italiana - Capitol Hill,Due%E2%80%99%20Cucina%20Italiana%20-%20Capitol%20Hill,Seattle,https://www.yelp.com/biz/due-cucina-italiana-seattle-4,4.3,794,"412 Broadway E Seattle, WA 98102",$$,Capitol Hill,"['Italian', 'Pasta Shops']"
118,Le Coin,Le%20Coin,Seattle,https://www.yelp.com/biz/le-coin-seattle,4.4,506,"4201 Fremont Ave N Seattle, WA 98103",$$$,Fremont,"['Seafood', 'French', 'New American']"
119,Azuki Handmade Japanese Udon Noodles,Azuki%20Handmade%20Japanese%20Udon%20Noodles,Seattle,https://www.yelp.com/biz/azuki-handmade-japanese-udon-noodles-seattle,4.3,216,"2711 E Madison St Seattle, WA 98112",$$,Madison Valley,"['Japanese', 'Noodles']"
120,Bottlehouse,Bottlehouse,Seattle,https://www.yelp.com/biz/bottlehouse-seattle,4.5,396,"1416 34th Ave Seattle, WA 98122",$$,Madrona,"['Wine Bars', 'Tapas/Small Plates']"
121,Meekong Bar,Meekong%20Bar,Seattle,https://www.yelp.com/biz/meekong-bar-seattle-4,4.3,570,"2525 4th Ave Seattle, WA 98121",$$,Belltown,"['Vietnamese', 'Asian Fusion', 'Soup']"
122,Finch & Pine,Finch%20%26%20Pine,Seattle,https://www.yelp.com/biz/finch-and-pine-seattle,4.2,38,"711 Bellevue Ave E Ste 100 Seattle, WA 98102",$$,Capitol Hill,"['Cafes', 'Cocktail Bars', 'Vegetarian']"
