,Unnamed: 0_google,Name,Main Tag,Tags_google,Rating_google,Num Reviews_google,Address_google,Zip Code,Neighborhood_google,Street Name,Unnamed: 0_tripadvisor,index,Rating_tripadvisor,Num Reviews_tripadvisor,Address_tripadvisor,Marquee,Distribution_x,Cost_x,Tags_tripadvisor,Neighborhood_tripadvisor,Unnamed: 0,Address,Rating,Num Reviews,Cost_y,Tags,Distribution_y,Neighborhood
45,56.0,Noi Thai Cuisine,Thai restaurant,"Thai restaurant, Asian restaurant, Bar, Fine dining restaurant, Restaurant, Southeast Asian restaurant",4.4,2074.0,"Noi Thai Cuisine - Downtown Seattle, 1303 1st Ave, Seattle, WA 98101",98101.0,Downtown,"1st Ave,",96.0,96.0,4.5,224.0,"1303 1st Ave, Seattle, WA 98101-2002","#64 of 2,182 Restaurants in Seattle","[134, 58, 12, 4, 8]",$$ - $$$,AsianThaiVegetarian Friendly,Downtown,95.0,"1303 1st Ave, Seattle, WA 98101-2002",4.0,1222.0,$$,"['Thai', 'Cocktail Bars']","['109', '82', '135', '275', '621']",Downtown
46,57.0,Thai Siam,Restaurant,Restaurant,3.8,8.0,"Siam on Eastlake, 1880 Fairview Ave E, Seattle, WA 98102",98102.0,Capitol Hill,"Fairview Ave E,",,,,,,,,,,,,,,,,,,
47,58.0,Dough Zone Dumpling House International District,Dumpling restaurant,"Dumpling restaurant, Bar, Restaurant, Russian restaurant",4.3,815.0,"Pel Meni Dumpling Tzar, 3518 Fremont Pl N, Seattle, WA 98103",98103.0,Fremont/Wallingford,"Fremont Pl N,",,,,,,,,,,,,,,,,,,
48,59.0,Luciano's Pizza & Pasta,Pizza restaurant,"Pizza restaurant, Pizza delivery, Pizza Takeout",3.9,195.0,"Luciano's Pizza & Pasta, 2341 California Ave SW, Seattle, WA 98116",98116.0,Other,"California Ave SW,",2468.0,2468.0,3.5,12.0,"2341 California Ave SW, Seattle, WA 98116-2402","#1,498 of 2,182 Restaurants in Seattle","[3, 2, 6, 0, 1]",$,Pizza,Other,2398.0,"2341 California Ave SW, Seattle, WA 98116-2402",3.5,223.0,$$,"['Pizza', 'Italian', 'Sandwiches']","['47', '23', '18', '42', '93']",Other
49,60.0,The Halal Guys,Halal restaurant,Halal restaurant,3.9,811.0,"The Halal Guys, 101 Yesler Wy, Seattle, WA 98104",98104.0,Chinatown,"Yesler Wy,",,,,,,,,,,,,,,,,,,
50,61.0,Atmos Cafe,Cafe,Cafe,2.0,8.0,"Atmos Cafe, 400 Broad St, Seattle, WA 98109",98109.0,Queen Anne/South Lake Union,"Broad St,",,,,,,,,,,,,,,,,,,
51,62.0,Red Cedar and Sage,Pacific Northwest restaurant (US),"Pacific Northwest restaurant (US), Restaurant",4.3,302.0,"Red Cedar & Sage, 1501 Pike Pl #200, Seattle, WA 98101",98101.0,Downtown,Pike Pl,362.0,362.0,4.5,76.0,"1501 Pike Pl #200, Seattle, WA 98101-3503","#231 of 2,182 Restaurants in Seattle","[42, 21, 9, 1, 1]",$$ - $$$,AmericanBarInternational,Downtown,356.0,"1501 Pike Pl #200, Seattle, WA 98101-3503",4.1,440.0,$$,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']","['23', '28', '52', '99', '238']",Downtown
52,63.0,Einstein Bros. Bagels,Bagel shop,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Coffee shop",4.1,223.0,"Einstein Bros. Bagels, 2746 NE 45th St, Seattle, WA 98105",98105.0,University District,"NE 45th St,",3148.0,3149.0,4.0,1.0,"2746 NE 45th St, Seattle, WA 98105-5099","#1,930 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,Cafe,University District,3048.0,"2746 NE 45th St, Seattle, WA 98105-5099",2.7,53.0,$,"['Sandwiches', 'Bagels', 'Breakfast & Brunch']","['19', '8', '5', '13', '8']",University District
53,65.0,Chan Seattle,Culinary school,Culinary school,4.7,7.0,"Seattle Culinary Academy at Seattle Central College, 1701 Broadway BE2120, Seattle, WA 98122",98122.0,Capitol Hill,Broadway,,,,,,,,,,,,,,,,,,
54,66.0,Mr. D's Greek Delicacies,Greek restaurant,"Greek restaurant, Gyro restaurant, Delivery Restaurant, Takeout Restaurant, Restaurant",4.4,263.0,"Mr D's Greek Delicacies, 1518 Pike Pl, Seattle, WA 98101",98101.0,Downtown,"Pike Pl,",560.0,560.0,4.5,49.0,"1518 Pike Pl, Seattle, WA 98101-1527",#89 of 302 Quick Bites in Seattle,"[27, 18, 2, 0, 1]",$,Quick BitesFast FoodMediterranean,Downtown,550.0,"1518 Pike Pl, Seattle, WA 98101-1527",4.1,299.0,$$,"['Greek', 'Fast Food', 'Mediterranean']","['19', '16', '30', '93', '141']",Downtown
55,67.0,Ezell's Famous Chicken,American restaurant,"American restaurant, Fast food restaurant, Restaurant, Soul food restaurant",4.3,1811.0,"Ezell's Famous Chicken, 2300 N 45th St #6906, Seattle, WA 98103",98103.0,Fremont/Wallingford,N 45th St,,,,,,,,,,,,,,,,,,
56,68.0,Outlier,Small plates restaurant,"Small plates restaurant, Bar",3.9,524.0,"Outlier, 1101 4th Ave, Seattle, WA 98101",98101.0,Downtown,"4th Ave,",615.0,615.0,4.0,109.0,"1101 4th Ave, Seattle, WA 98101","#388 of 2,182 Restaurants in Seattle","[36, 38, 16, 8, 7]",$$ - $$$,AmericanBarContemporary,Downtown,603.0,"1101 4th Ave, Seattle, WA 98101",3.6,278.0,$$,"['New American', 'Breakfast & Brunch', 'Burgers']","['25', '50', '42', '60', '101']",Downtown
