,index,Name,Rating,Num Reviews,Address,Marquee,Distribution,Cost,Tags,Zip Code,Neighborhood
93,93,Portage Bay Cafe - South Lake Union,4.5,509,"391 Terry Ave N, Seattle, WA 98109-5222","#61 of 2,182 Restaurants in Seattle","[269, 141, 46, 23, 14]",$$ - $$$,AmericanCafeVegetarian Friendly,98109,Queen Anne/South Lake Union
94,94,Athenian Seafood Restaurant and Bar,4.0,1285,"1517 Pike Pl, Seattle, WA 98101-1526","#62 of 2,182 Restaurants in Seattle","[430, 505, 173, 47, 36]",$$ - $$$,SeafoodVegetarian FriendlyVegan Options,98101,Downtown
95,95,Palisade,4.0,713,"2601 W Marina Place, Seattle, WA 98199","#63 of 2,182 Restaurants in Seattle","[394, 153, 92, 39, 21]",$$$$,AmericanSeafoodFusion,98199,Other
96,96,Noi Thai Cuisine,4.5,224,"1303 1st Ave, Seattle, WA 98101-2002","#64 of 2,182 Restaurants in Seattle","[134, 58, 12, 4, 8]",$$ - $$$,AsianThaiVegetarian Friendly,98101,Downtown
97,97,8oz Burger & Co,4.5,244,"1401 Broadway, Seattle, WA 98122-3854","#65 of 2,182 Restaurants in Seattle","[130, 73, 11, 5, 2]",$$ - $$$,AmericanBarVegetarian Friendly,98122,Capitol Hill
98,98,Etta's Big Mountain BBQ,4.0,1612,"2020 Western Ave, Seattle, WA 98121-2109","#66 of 2,182 Restaurants in Seattle","[717, 504, 244, 69, 31]",$$ - $$$,AmericanBrew PubBarbecue,98121,Belltown
100,100,Mamnoon,4.5,316,"1508 Melrose Ave, Seattle, WA 98122-3608","#67 of 2,182 Restaurants in Seattle","[165, 89, 37, 11, 3]",$$ - $$$,LebaneseMediterraneanMiddle Eastern,98122,Capitol Hill
101,101,The Cheesecake Factory,4.0,1486,"700 Pike St, Seattle, WA 98101-2311",#11 of 112 Desserts in Seattle,"[564, 498, 146, 55, 34]",$$ - $$$,DessertAmericanInternational,98101,Downtown
102,102,Ruth's Chris Steak House,4.0,750,"727 Pine St Grand Hyatt Hotel, Seattle, WA 98101-1815","#68 of 2,182 Restaurants in Seattle","[337, 198, 76, 50, 29]",$$$$,AmericanSteakhouseVegetarian Friendly,98101,Downtown
103,103,Saffron Grill,4.5,385,"2132 N Northgate Way, Seattle, WA 98133-9007","#69 of 2,182 Restaurants in Seattle","[207, 117, 25, 16, 11]",$$ - $$$,IndianMediterraneanMiddle Eastern,98133,Bitter Lake
104,104,Skillet,4.5,308,"1400 E Union St, Seattle, WA 98122-4150","#70 of 2,182 Restaurants in Seattle","[168, 95, 30, 8, 3]",$$ - $$$,AmericanDinerVegetarian Friendly,98122,Capitol Hill
105,105,Cactus,4.5,218,"350 Terry Ave N, Seattle, WA 98109-5209","#71 of 2,182 Restaurants in Seattle","[113, 73, 23, 3, 1]",$$ - $$$,MexicanSouthwesternVegetarian Friendly,98109,Queen Anne/South Lake Union
106,106,Molly Moon's Homemade Ice Cream,4.5,283,"917 E Pine St, Seattle, WA 98122-3843",#12 of 112 Desserts in Seattle,"[160, 68, 25, 6, 7]",$,DessertAmerican,98122,Capitol Hill
107,107,Seatown,4.0,585,"2010 Western Ave, Seattle, WA 98121-2109","#72 of 2,182 Restaurants in Seattle","[234, 215, 64, 29, 17]",$$ - $$$,AmericanBarSeafood,98121,Belltown
108,108,Maximilien,4.0,585,"81A Pike St, Seattle, WA 98101-2024","#73 of 2,182 Restaurants in Seattle","[269, 165, 74, 23, 22]",$$$$,FrenchEuropeanVegetarian Friendly,98101,Downtown
110,110,Bizzarro Italian Cafe,4.5,237,"1307 N 46th St, Seattle, WA 98103-6709","#74 of 2,182 Restaurants in Seattle","[144, 66, 17, 3, 3]",$$ - $$$,ItalianVegetarian FriendlyGluten Free Options,98103,Fremont/Wallingford
111,111,Seattle Coffee Works,4.5,227,"108 Pine St, Seattle, WA 98101-2009",#5 of 225 Coffee & Tea in Seattle,"[134, 49, 17, 3, 3]",$,Quick BitesCafe,98101,Downtown
112,112,Elliott's Oyster House,4.5,3199,"1201 Alaskan Way Pier 56, Seattle, WA 98101-3449","#75 of 2,182 Restaurants in Seattle","[1567, 914, 313, 127, 73]",$$ - $$$,AmericanVegetarian FriendlyGluten Free Options,98101,Downtown
113,113,Starbucks,4.0,609,"1912 Pike Pl, Seattle, WA 98101-1013",#6 of 225 Coffee & Tea in Seattle,"[204, 177, 85, 17, 13]",$,Quick Bites,98101,Downtown
114,114,Geraldine's Counter Restaurant,4.5,198,"4872 Rainier Ave S, Seattle, WA 98118-1742","#76 of 2,182 Restaurants in Seattle","[99, 80, 13, 3, 1]",$$ - $$$,AmericanCafeDiner,98118,Other
115,115,Mee Sum Pastry,4.5,224,"1526 Pike Pl, Seattle, WA 98101-1527",#24 of 302 Quick Bites in Seattle,"[108, 84, 23, 6, 1]",$,Quick BitesChineseAsian,98101,Downtown
116,116,Duke's Seafood West Seattle,4.5,336,"2516 Alki Ave SW, Seattle, WA 98116-2238","#77 of 2,182 Restaurants in Seattle","[169, 102, 37, 9, 8]",$$ - $$$,AmericanBarSeafood,98116,Other
117,117,Il Bistro,4.5,387,"93 Pike St Ste A, Seattle, WA 98101-2052","#78 of 2,182 Restaurants in Seattle","[205, 104, 39, 13, 11]",$$ - $$$,ItalianBarPizza,98101,Downtown
118,118,Ivar's Salmon House,4.0,869,"401 NE Northlake Way, Seattle, WA 98105-6818","#79 of 2,182 Restaurants in Seattle","[355, 289, 110, 47, 26]",$$ - $$$,AmericanSeafoodSoups,98105,University District
119,119,The Pike Pub and Brewery,4.0,1420,"1415 1st Ave, Seattle, WA 98101-2017","#80 of 2,182 Restaurants in Seattle","[485, 576, 203, 47, 21]",$$ - $$$,AmericanBarPub,98101,Downtown
121,121,Mamma Melina Ristorante,4.5,264,"5101 25th Ave NE, Seattle, WA 98105-3225","#81 of 2,182 Restaurants in Seattle","[139, 86, 25, 8, 4]",$$ - $$$,ItalianPizzaVegetarian Friendly,98105,University District
123,123,Lowell's Restaurant,4.0,2131,"1519 Pike Pl, Seattle, WA 98101","#82 of 2,182 Restaurants in Seattle","[787, 853, 283, 93, 51]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98101,Downtown
124,124,Shawn O'Donnell's American Grill And Irish Pub,4.5,156,"508 2nd Ave, Seattle, WA 98104-2336","#83 of 2,182 Restaurants in Seattle","[90, 42, 16, 3, 0]",$$ - $$$,AmericanIrishBar,98104,Chinatown
125,125,Veggie Grill,4.5,209,"1427 4th Ave Corner of 4th & Pine, Seattle, WA 98101",#25 of 302 Quick Bites in Seattle,"[112, 64, 15, 2, 3]",$,Quick BitesAmericanFast Food,98101,Downtown
127,127,Whole Foods Market,4.5,160,"2210 Westlake Ave, Seattle, WA 98121-2713","#84 of 2,182 Restaurants in Seattle","[67, 52, 3, 2, 1]",$$ - $$$,AmericanVegetarian FriendlyVegan Options,98121,Belltown
130,130,Espresso Vivace Roasteria,4.5,206,"532 Broadway E, Seattle, WA 98102-5024",#7 of 225 Coffee & Tea in Seattle,"[147, 35, 8, 0, 3]",$,Quick BitesCafeGluten Free Options,98102,Capitol Hill
131,131,Lark Restaurant,4.5,311,"926 12th Ave, Seattle, WA 98122-4412","#85 of 2,182 Restaurants in Seattle","[177, 75, 29, 17, 5]",$$$$,American,98122,Capitol Hill
132,132,Mecca Cafe,4.0,367,"526 Queen Anne Ave N, Seattle, WA 98109","#86 of 2,182 Restaurants in Seattle","[141, 150, 37, 14, 10]",$,AmericanBarDiner,98109,Queen Anne/South Lake Union
133,133,Nue,4.5,179,"1519 14th Ave, Seattle, WA 98122-4023","#87 of 2,182 Restaurants in Seattle","[133, 23, 8, 4, 3]",$$ - $$$,InternationalFusionStreet Food,98122,Capitol Hill
134,134,Dough Zone Dumpling House International District,4.5,123,"504 5th Ave S Suite 109, Seattle, WA 98104-3764","#88 of 2,182 Restaurants in Seattle","[68, 34, 15, 4, 0]",$,ChineseSeafoodAsian,98104,Chinatown
135,135,Five Point Cafe,4.0,1016,"415 Cedar St, Seattle, WA 98121-1519","#89 of 2,182 Restaurants in Seattle","[427, 333, 116, 41, 62]",$,BarCafePub,98121,Belltown
136,136,Bahn Thai Restaurant,4.5,282,"409 Roy St, Seattle, WA 98109-4215","#90 of 2,182 Restaurants in Seattle","[144, 91, 25, 7, 5]",$$ - $$$,AsianThaiVegetarian Friendly,98109,Queen Anne/South Lake Union
137,137,Storyville Coffee,4.5,121,"1001 1st Ave 1st & Madison, Seattle, WA 98104-1007",#8 of 225 Coffee & Tea in Seattle,"[91, 20, 5, 1, 1]",$$ - $$$,Quick BitesAmericanCafe,98104,Chinatown
